"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\Steven\Documents\7-University\NAR\Project-C\README.md", "Markdown", 0, 0, 4, 0, 2, 6
"c:\Users\Steven\Documents\7-University\NAR\Project-C\config.h", "C", 4, 0, 0, 0, 2, 6
"c:\Users\Steven\Documents\7-University\NAR\Project-C\events\eventStruct.h", "C++", 0, 7, 0, 0, 3, 10
"c:\Users\Steven\Documents\7-University\NAR\Project-C\events\events.c", "C", 2, 0, 0, 0, 1, 3
"c:\Users\Steven\Documents\7-University\NAR\Project-C\events\events.h", "C", 5, 0, 0, 0, 4, 9
"c:\Users\Steven\Documents\7-University\NAR\Project-C\events\handlers\enemyHandler.h", "C++", 0, 13, 0, 0, 2, 15
"c:\Users\Steven\Documents\7-University\NAR\Project-C\globals.c", "C", 8, 0, 0, 0, 2, 10
"c:\Users\Steven\Documents\7-University\NAR\Project-C\globals.h", "C", 9, 0, 0, 0, 3, 12
"c:\Users\Steven\Documents\7-University\NAR\Project-C\main.c", "C", 33, 0, 0, 1, 8, 42
"c:\Users\Steven\Documents\7-University\NAR\Project-C\menus\loadGame.h", "C++", 0, 37, 0, 7, 11, 55
"c:\Users\Steven\Documents\7-University\NAR\Project-C\menus\lobby.h", "C++", 0, 30, 0, 0, 7, 37
"c:\Users\Steven\Documents\7-University\NAR\Project-C\menus\mainMenu.h", "C++", 0, 98, 0, 2, 6, 106
"c:\Users\Steven\Documents\7-University\NAR\Project-C\menus\newGame.h", "C++", 0, 33, 0, 3, 6, 42
"c:\Users\Steven\Documents\7-University\NAR\Project-C\structs.h", "C++", 0, 83, 0, 2, 15, 100
"c:\Users\Steven\Documents\7-University\NAR\Project-C\test\config.unused.h", "C++", 0, 0, 0, 67, 18, 85
"c:\Users\Steven\Documents\7-University\NAR\Project-C\test\test.c", "C", 36, 0, 0, 0, 4, 40
"c:\Users\Steven\Documents\7-University\NAR\Project-C\test\test2.c", "C", 12, 0, 0, 0, 2, 14
"c:\Users\Steven\Documents\7-University\NAR\Project-C\test\test3.c", "C", 32, 0, 0, 0, 6, 38
"c:\Users\Steven\Documents\7-University\NAR\Project-C\utils\eventTimer.h", "C++", 0, 31, 0, 0, 6, 37
"c:\Users\Steven\Documents\7-University\NAR\Project-C\utils\fileUtils.h", "C++", 0, 7, 0, 0, 3, 10
"c:\Users\Steven\Documents\7-University\NAR\Project-C\utils\gameUtils.h", "C++", 0, 12, 0, 5, 8, 25
"c:\Users\Steven\Documents\7-University\NAR\Project-C\utils\inputUtils.h", "C++", 0, 42, 0, 6, 6, 54
"c:\Users\Steven\Documents\7-University\NAR\Project-C\utils\printUtils.h", "C++", 0, 24, 0, 0, 6, 30
"Total", "-", 141, 417, 4, 93, 131, 786